Region,Squadrats Rank,Squadrats Count,Squadratinhos Rank,Squadratinhos Count,Übersquadrat Rank,Übersquadrat Count,Übersquadratinho Rank,Übersquadratinho Count,Yard Rank,Yard Count,Yardinho Rank,Yardinho Count
Earth,#6399,"8,262",#8080,"87,568",#42219,9 × 9,#11627,13 × 13,#51040,158,#23219,438
France,#4830,"2,262",#5143,"23,819",#5883,7 × 7,#1399,13 × 13,#7891,67,#2507,438
United States,#728,"1,707",#710,"19,664",#1453,4 × 4,#673,10 × 10,#1371,30,#707,344
Netherlands,#7479,"1,416",#8235,"15,754",#12230,6 × 6,#1892,12 × 12,#13222,68,#2809,433
Auvergne-Rhône-Alpes,#2757,742,#2483,"9,014",#1334,7 × 7,#352,13 × 13,#1777,66,#610,438
Colorado,#102,688,#91,"8,149",#158,4 × 4,#85,8 × 8,#169,19,#96,157
South Holland,#2005,530,#1848,"7,268",#2412,6 × 6,#296,12 × 12,#2603,68,#405,433
Switzerland,#2248,652,#2221,"6,962",#2015,5 × 5,#1977,6 × 6,#1620,79,#2378,62
Bourgogne-Franche-Comté,#614,772,#691,"6,929",#1720,3 × 3,#912,4 × 4,#5492,2,#6045,7
Belgium,#18046,686,#20438,"6,084",#20761,5 × 5,#22367,4 × 4,#23622,22,#23660,14
Lake Geneva,#349,547,#388,"6,066",#381,5 × 5,#413,6 × 6,#250,79,#683,62
Italy,#5315,516,#5744,"4,792",#19755,2 × 2,#15814,3 × 3,#24184,1,#14855,10
Germany,#16570,538,#18800,"4,385",#33710,2 × 2,#19363,4 × 4,#33434,2,#31947,6
Wallonia,#10452,451,#11834,"3,959",#7792,5 × 5,#15057,3 × 3,#10483,22,#11752,11
New York,#167,289,#131,"3,767",#140,4 × 4,#66,10 × 10,#113,29,#63,344
Ontario,#1340,5,#1222,44,#1367,1 × 1,#1306,2 × 2,,,,
Provence-Alpes-Côte d'Azur,#28356,5,#28007,43,#28506,1 × 1,#22694,3 × 3,,,#22578,3
Cuba,#222,6,#220,38,#182,2 × 2,#224,2 × 2,,,#134,2
Autonomous City of Buenos Aires,#413,4,#432,28,#419,1 × 1,#495,1 × 1,,,,
Cape Verde,#459,4,#445,25,#362,2 × 2,#451,2 × 2,,,,
Poland,#24068,4,#23970,24,#22571,2 × 2,#23824,2 × 2,,,,
West Pomeranian,#8919,4,#8861,24,#7826,2 × 2,#8741,2 × 2,,,,
Bahamas,#128,2,#81,21,#98,1 × 1,#75,2 × 2,,,,
India,#860,3,#831,18,#835,1 × 1,#986,1 × 1,,,,
Karnataka,#174,3,#171,18,#167,1 × 1,#217,1 × 1,,,,
Aosta Valley,#7095,2,#6713,8,#6832,1 × 1,#6738,1 × 1,,,,
Wales,#4101,2,#4100,8,#4080,1 × 1,#4040,2 × 2,,,,
Zurich,#7063,2,#7054,7,#6902,1 × 1,#7093,1 × 1,,,,
Emilia-Romagna,#6685,1,#6367,7,#6470,1 × 1,#6164,2 × 2,,,,
North Carolina,#946,1,#923,5,#928,1 × 1,#891,2 × 2,,,,
