Region,Squadrats Rank,Squadrats Count,Squadratinhos Rank,Squadratinhos Count,Übersquadrat Rank,Übersquadrat Count,Übersquadratinho Rank,Übersquadratinho Count,Yard Rank,Yard Count,Yardinho Rank,Yardinho Count
Earth,#6402,"8,262",#8084,"87,583",#42264,9 × 9,#11648,13 × 13,#51095,158,#23253,438
France,#4836,"2,262",#5145,"23,834",#5888,7 × 7,#1402,13 × 13,#7899,67,#2511,438
United States,#730,"1,707",#714,"19,664",#1457,4 × 4,#675,10 × 10,#1375,30,#711,344
Netherlands,#7492,"1,416",#8247,"15,754",#12247,6 × 6,#1901,12 × 12,#13243,68,#2815,433
Auvergne-Rhône-Alpes,#2758,742,#2484,"9,029",#1337,7 × 7,#353,13 × 13,#1778,66,#610,438
Colorado,#102,688,#91,"8,149",#158,4 × 4,#85,8 × 8,#170,19,#96,157
South Holland,#2005,530,#1849,"7,268",#2415,6 × 6,#296,12 × 12,#2607,68,#407,433
Switzerland,#2251,652,#2226,"6,962",#2016,5 × 5,#1981,6 × 6,#1621,79,#2383,62
Bourgogne-Franche-Comté,#615,772,#692,"6,929",#1722,3 × 3,#912,4 × 4,#5502,2,#6057,7
Belgium,#18074,686,#20467,"6,084",#20791,5 × 5,#22399,4 × 4,#23654,22,#23698,14
Lake Geneva,#349,547,#388,"6,066",#381,5 × 5,#414,6 × 6,#250,79,#685,62
Italy,#5325,516,#5753,"4,792",#19787,2 × 2,#15848,3 × 3,#24224,1,#14886,10
Germany,#16600,538,#18831,"4,385",#33764,2 × 2,#19390,4 × 4,#33492,2,#32005,6
Wallonia,#10463,451,#11844,"3,959",#7801,5 × 5,#15077,3 × 3,#10493,22,#11768,11
New York,#168,289,#132,"3,767",#141,4 × 4,#67,10 × 10,#114,29,#65,344
Ontario,#1343,5,#1224,44,#1370,1 × 1,#1309,2 × 2,,,,
Provence-Alpes-Côte d'Azur,#28399,5,#28047,43,#28547,1 × 1,#22724,3 × 3,,,#22608,3
Cuba,#222,6,#220,38,#182,2 × 2,#224,2 × 2,,,#134,2
Autonomous City of Buenos Aires,#413,4,#432,28,#419,1 × 1,#495,1 × 1,,,,
Cape Verde,#460,4,#446,25,#362,2 × 2,#451,2 × 2,,,,
Poland,#24098,4,#23997,24,#22601,2 × 2,#23857,2 × 2,,,,
West Pomeranian,#8930,4,#8872,24,#7834,2 × 2,#8752,2 × 2,,,,
Bahamas,#128,2,#81,21,#98,1 × 1,#75,2 × 2,,,,
India,#862,3,#832,18,#836,1 × 1,#988,1 × 1,,,,
Karnataka,#174,3,#171,18,#167,1 × 1,#217,1 × 1,,,,
Aosta Valley,#7110,2,#6730,8,#6847,1 × 1,#6755,1 × 1,,,,
Wales,#4111,2,#4109,8,#4089,1 × 1,#4049,2 × 2,,,,
Zurich,#7082,2,#7073,7,#6922,1 × 1,#7112,1 × 1,,,,
Emilia-Romagna,#6705,1,#6386,7,#6489,1 × 1,#6182,2 × 2,,,,
North Carolina,#947,1,#924,5,#929,1 × 1,#892,2 × 2,,,,
