Region,Squadrats Rank,Squadrats Count,Squadratinhos Rank,Squadratinhos Count,Übersquadrat Rank,Übersquadrat Count,Übersquadratinho Rank,Übersquadratinho Count,Yard Rank,Yard Count,Yardinho Rank,Yardinho Count
Earth,#6402,"8,262",#8083,"87,579",#42242,9 × 9,#11639,13 × 13,#51069,158,#23232,438
France,#4833,"2,262",#5143,"23,830",#5885,7 × 7,#1401,13 × 13,#7895,67,#2509,438
United States,#728,"1,707",#710,"19,664",#1453,4 × 4,#673,10 × 10,#1371,30,#709,344
Netherlands,#7482,"1,416",#8239,"15,754",#12235,6 × 6,#1898,12 × 12,#13230,68,#2812,433
Auvergne-Rhône-Alpes,#2757,742,#2482,"9,025",#1334,7 × 7,#353,13 × 13,#1777,66,#610,438
Colorado,#102,688,#91,"8,149",#158,4 × 4,#85,8 × 8,#169,19,#96,157
South Holland,#2004,530,#1847,"7,268",#2413,6 × 6,#296,12 × 12,#2604,68,#405,433
Switzerland,#2249,652,#2224,"6,962",#2016,5 × 5,#1979,6 × 6,#1621,79,#2381,62
Bourgogne-Franche-Comté,#615,772,#692,"6,929",#1721,3 × 3,#912,4 × 4,#5498,2,#6046,7
Belgium,#18062,686,#20455,"6,084",#20777,5 × 5,#22384,4 × 4,#23638,22,#23682,14
Lake Geneva,#349,547,#388,"6,066",#381,5 × 5,#413,6 × 6,#250,79,#683,62
Italy,#5318,516,#5745,"4,792",#19772,2 × 2,#15828,3 × 3,#24207,1,#14872,10
Germany,#16582,538,#18815,"4,385",#33731,2 × 2,#19374,4 × 4,#33456,2,#31970,6
Wallonia,#10456,451,#11838,"3,959",#7797,5 × 5,#15067,3 × 3,#10488,22,#11759,11
New York,#167,289,#131,"3,767",#140,4 × 4,#66,10 × 10,#113,29,#64,344
Ontario,#1342,5,#1224,44,#1369,1 × 1,#1308,2 × 2,,,,
Provence-Alpes-Côte d'Azur,#28377,5,#28027,43,#28526,1 × 1,#22707,3 × 3,,,#22590,3
Cuba,#222,6,#220,38,#182,2 × 2,#224,2 × 2,,,#134,2
Autonomous City of Buenos Aires,#413,4,#432,28,#419,1 × 1,#495,1 × 1,,,,
Cape Verde,#459,4,#445,25,#362,2 × 2,#451,2 × 2,,,,
Poland,#24083,4,#23984,24,#22586,2 × 2,#23841,2 × 2,,,,
West Pomeranian,#8924,4,#8866,24,#7829,2 × 2,#8746,2 × 2,,,,
Bahamas,#128,2,#81,21,#98,1 × 1,#75,2 × 2,,,,
India,#861,3,#832,18,#836,1 × 1,#987,1 × 1,,,,
Karnataka,#174,3,#171,18,#167,1 × 1,#217,1 × 1,,,,
Aosta Valley,#7103,2,#6722,8,#6840,1 × 1,#6748,1 × 1,,,,
Wales,#4110,2,#4108,8,#4088,1 × 1,#4048,2 × 2,,,,
Zurich,#7072,2,#7063,7,#6911,1 × 1,#7102,1 × 1,,,,
Emilia-Romagna,#6694,1,#6375,7,#6478,1 × 1,#6172,2 × 2,,,,
North Carolina,#947,1,#924,5,#929,1 × 1,#892,2 × 2,,,,
