Region,Squadrats Rank,Squadrats Count,Squadratinhos Rank,Squadratinhos Count,Übersquadrat Rank,Übersquadrat Count,Übersquadratinho Rank,Übersquadratinho Count,Yard Rank,Yard Count,Yardinho Rank,Yardinho Count
Earth,#6396,"8,262",#8081,"87,556",#42210,9 × 9,#11619,13 × 13,#51023,158,#23210,438
France,#4829,"2,262",#5143,"23,816",#5881,7 × 7,#1399,13 × 13,#7887,67,#2506,438
United States,#728,"1,707",#710,"19,664",#1453,4 × 4,#673,10 × 10,#1371,30,#707,344
Netherlands,#7477,"1,416",#8232,"15,754",#12225,6 × 6,#1889,12 × 12,#13217,68,#2808,433
Auvergne-Rhône-Alpes,#2757,742,#2483,"9,011",#1334,7 × 7,#352,13 × 13,#1777,66,#610,438
Colorado,#102,688,#91,"8,149",#158,4 × 4,#85,8 × 8,#169,19,#96,157
South Holland,#2004,530,#1848,"7,268",#2411,6 × 6,#296,12 × 12,#2602,68,#405,433
Switzerland,#2244,652,#2219,"6,951",#2013,5 × 5,#1976,6 × 6,#1619,79,#2377,62
Bourgogne-Franche-Comté,#613,772,#691,"6,929",#1720,3 × 3,#912,4 × 4,#5486,2,#6041,7
Belgium,#18039,686,#20431,"6,084",#20753,5 × 5,#22355,4 × 4,#23610,22,#23648,14
Lake Geneva,#349,547,#388,"6,055",#381,5 × 5,#413,6 × 6,#250,79,#683,62
Italy,#5308,516,#5739,"4,792",#19742,2 × 2,#15807,3 × 3,#24164,1,#14847,10
Germany,#16562,538,#18792,"4,385",#33699,2 × 2,#19357,4 × 4,#33424,2,#31939,6
Wallonia,#10452,451,#11833,"3,959",#7793,5 × 5,#15054,3 × 3,#10480,22,#11749,11
New York,#167,289,#131,"3,767",#140,4 × 4,#66,10 × 10,#113,29,#63,344
Ontario,#1340,5,#1222,44,#1367,1 × 1,#1306,2 × 2,,,,
Provence-Alpes-Côte d'Azur,#28343,5,#27994,43,#28493,1 × 1,#22685,3 × 3,,,#22569,3
Cuba,#222,6,#220,38,#182,2 × 2,#224,2 × 2,,,#134,2
Autonomous City of Buenos Aires,#413,4,#432,28,#419,1 × 1,#495,1 × 1,,,,
Cape Verde,#459,4,#445,25,#362,2 × 2,#450,2 × 2,,,,
Poland,#24058,4,#23959,24,#22562,2 × 2,#23812,2 × 2,,,,
West Pomeranian,#8915,4,#8858,24,#7825,2 × 2,#8738,2 × 2,,,,
Bahamas,#128,2,#81,21,#98,1 × 1,#75,2 × 2,,,,
India,#860,3,#831,18,#835,1 × 1,#986,1 × 1,,,,
Karnataka,#174,3,#171,18,#167,1 × 1,#217,1 × 1,,,,
Aosta Valley,#7089,2,#6708,8,#6826,1 × 1,#6733,1 × 1,,,,
Wales,#4098,2,#4097,8,#4077,1 × 1,#4037,2 × 2,,,,
Zurich,#7058,2,#7049,7,#6897,1 × 1,#7088,1 × 1,,,,
Emilia-Romagna,#6681,1,#6363,7,#6466,1 × 1,#6160,2 × 2,,,,
North Carolina,#946,1,#923,5,#928,1 × 1,#891,2 × 2,,,,
